Trace_Name,IPC,Instructions,Cycles,L1D_Access,L1D_Hit,L1D_Miss,L2C_Access,L2C_Hit,L2C_Miss,LLC_Access,LLC_Hit,LLC_Miss,LLC_Pref_Requested,LLC_Pref_Issued,LLC_Pref_Useful,LLC_Pref_Useless,Avg_Congested_Cycle
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_8192_300.txt,0.441989,20700647,46835241,4649887,3189952,1459935,1579244,578968,1000276,1118923,1024167,94756,0,0,0,0,101
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_8192_600.txt,0.366344,54612142,149073450,18978938,17635455,1343483,1915426,752471,1162955,2044599,1235890,808709,445082,445082,83746,149154,40
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_512_300.txt,0.132288,20700644,156481188,4835289,3375367,1459922,1579231,578961,1000270,1118917,115575,1003342,0,0,0,0,93
bfs-10.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_600.txt,0.362757,61219343,168761105,13910353,11075613,2834740,2984635,1977854,1006781,1995334,806925,1188409,924947,924947,604302,197283,34
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_9600.txt,0.345778,98033976,283517372,23885943,21021775,2864168,3801225,2735963,1065262,1749125,356074,1393051,556072,555637,23396,175885,1
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_2400.txt,0.3144,54612142,173702641,18737830,17394346,1343484,1915343,752357,1162986,2136936,753594,1383342,569971,569971,165286,259435,10
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_256_9600.txt,0.153262,38467912,250995063,7069598,5391462,1678136,2531121,1529818,1001303,1871948,6894,1865054,17904,17904,5165,11081,1
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_600.txt,0.252507,29478984,116745442,7068551,5342193,1726358,2555289,1252814,1302475,2196379,1167172,1029207,500102,499833,129850,71548,46
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_1200.txt,0.36522,29478984,80715608,7164540,5438115,1726425,2555407,1252924,1302483,2457130,1640958,816172,641293,641293,136678,76816,21
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_8192_4800.txt,0.38708,29478984,76157265,7212882,5486398,1726484,2555476,1252984,1302492,1893569,1290433,603136,0,0,0,0,4
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_600.txt,0.190892,29478984,154427773,6999124,5272789,1726335,2555258,1252793,1302465,1893582,47931,1845651,0,0,0,0,45
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_2048_300.txt,0.50645,52596276,103852840,7327476,6326945,1000531,1000973,671,1000302,1000730,336166,664564,0,0,0,0,95
cc-5.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_4800.txt,0.39289,20700647,52688165,4702964,3243020,1459944,1579253,578972,1000281,1231096,1047920,183176,114670,113600,76998,3298,4
bfs-10.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_300.txt,0.314019,61219343,194954058,13902913,11068188,2834725,2984620,1977840,1006780,1843953,704704,1139249,794782,789735,516500,152430,77
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_2400.txt,0.865324,84756213,97947398,10744457,9474246,1270211,1390796,293160,1097636,1768157,500945,1267212,814801,814751,464920,65493,9
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_4800.txt,0.726682,52596276,72378683,7320313,6319783,1000530,1000973,671,1000302,1527782,448208,1079574,854173,853895,387623,78356,4
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_300.txt,0.529267,84756213,160138904,10713609,9443359,1270250,1390834,293181,1097653,1623604,356376,1267228,814739,814679,321808,65504,89
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_1200.txt,0.649847,52596273,80936393,7380221,6379692,1000529,1000971,671,1000300,1455712,375542,1080170,667179,667179,372110,78688,20
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_2048_4800.txt,0.153382,38467912,250798787,7108452,5430380,1678072,2531058,1529753,1001305,1854173,872474,981699,0,0,0,0,4
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_4800.txt,0.923756,84756213,91751730,10772070,9501822,1270248,1390834,293198,1097636,1775790,679520,1096270,814813,814763,456788,58618,4
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_600.txt,0.29317,54612142,186281698,18675466,17331988,1343478,1915419,752428,1162991,2058458,721147,1337311,491073,491073,135894,218814,42
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_256_9600.txt,0.711613,52596273,73911351,7353608,6353079,1000529,1000971,671,1000300,1482094,396390,1085704,754587,754587,393863,84657,1
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_8192_1200.txt,1.06652,52596276,49315575,7273252,6272721,1000531,1000973,671,1000302,1847484,1843992,3492,854174,853896,64,0,23
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_150.txt,0.0908977,29478984,324309577,7038141,5311836,1726305,2555196,1252696,1302500,2352415,1288602,1063813,599820,599820,168917,97000,194
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_300.txt,0.5052,84756213,167767561,10725906,9455628,1270278,1390866,293212,1097654,1532649,398407,1134242,531354,531354,256299,55414,88
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_2400.txt,0.278486,29478984,105854465,7018207,5291936,1726271,2555117,1252619,1302498,2178184,338148,1840036,499904,499650,157428,98383,11
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_1024_150.txt,0.0870297,38467912,442009260,7196952,5519174,1677778,2530765,1529570,1001195,2496776,1500745,996031,721747,721745,5011,9224,169
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_4800.txt,0.353549,29478987,83380207,7087352,5360931,1726421,2555364,1252830,1302534,2443818,1363993,1079825,710325,710325,213601,108739,4
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_256_2400.txt,0.342948,98033976,285856406,23885449,21021279,2864170,3801226,2735961,1065265,1574231,250395,1323836,129302,129302,4327,111296,9
cc-5.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_300.txt,0.38058,20700647,54392355,4703296,3243353,1459943,1579252,578972,1000280,1230909,1047733,183176,114670,113600,76812,3298,84
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_256_150.txt,0.21171,52596276,248434943,7375418,6374888,1000530,1000972,671,1000301,1000728,0,1000728,0,0,0,0,162
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_8192_300.txt,1.06632,52596276,49325186,7273246,6272715,1000531,1000973,671,1000302,1847466,1843974,3492,854174,853896,46,0,98
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_4096_600.txt,0.287072,29478984,102688450,7175397,5448981,1726416,2555399,1252912,1302487,1893616,1176511,717105,0,0,0,0,45
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_300.txt,0.236163,54612142,231247811,18643984,17300511,1343473,1915375,752422,1162953,1967878,675601,1292277,398434,398434,93034,180741,94
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_1200.txt,0.255047,29478984,115582523,7006679,5280404,1726275,2555133,1252685,1302448,2174287,334277,1840010,499812,499554,153861,98336,21
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_300.txt,1.06615,52596276,49332944,7273254,6272723,1000531,1000973,671,1000302,1750318,1746638,3680,749605,749605,76,0,98
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_150.txt,0.087145,38467912,441424071,7198685,5520904,1677781,2530768,1529571,1001197,1876410,882567,993843,22507,22507,5017,12069,168
bfs-10.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_1200.txt,0.367333,61219343,166658951,13916234,11081494,2834740,2984635,1977855,1006780,2043965,690677,1353288,977713,977713,634423,249032,12
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_2048_1200.txt,0.24068,20700647,86008865,4732726,3272780,1459946,1579255,578972,1000283,1118930,682810,436120,0,0,0,0,16
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_4096_1200.txt,0.335804,54612142,162631075,18835256,17491775,1343481,1914963,751993,1162970,1654803,877761,777042,0,0,0,0,19
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_9600.txt,0.733543,52596276,71701726,7316819,6316289,1000530,1000973,671,1000302,1527687,448113,1079574,854173,853895,387524,78356,1
