Trace_Name,Benchmark,Model,Size,Freq,IPC,Instructions,Cycles,L1D_Access,L1D_Hit,L1D_Miss,L2C_Access,L2C_Hit,L2C_Miss,LLC_Access,LLC_Hit,LLC_Miss,LLC_Pref_Requested,LLC_Pref_Issued,LLC_Pref_Useful,LLC_Pref_Useless,LLC_Pref_Late,LLC_Pref_Hit,LLC_Pref_OTHERS,LLC_Pref_FILL,LLC_Pref_DROPPED,LLC_Pref_ACCESS,LLC_Pref_MISS,Avg_Congested_Cycle
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_2400.txt,450.soplex-s0.trace.gz,no,256,2400,0.245908,29478984,119878345,7030739,5304383,1726356,2555275,1252802,1302473,1893573,47889,1845684,0,0,0,0,0,0,0,0,0,0,0,11
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_150.txt,623.xalancbmk-s1.trace.xz,pathfinder,4096,150,1.06569,52596276,49354234,7273258,6272727,1000531,1000973,671,1000302,1957709,1954180,3529,974379,974379,60,0,31,953816,20472,3164,0,956980,3164,154
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_4800.txt,473.astar-s1.trace.gz,pathfinder,2048,4800,0.457356,98033976,214349506,23889573,21025402,2864171,3801228,2735794,1065434,2153359,1859998,293361,752288,752288,70873,59597,332,576572,44914,131330,0,707902,131330,4
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_512_2400.txt,473.astar-s1.trace.gz,no,512,2400,0.35784,98033976,273960320,23887814,21023647,2864167,3801224,2735916,1065308,1445334,457875,987459,0,0,0,0,0,0,0,0,0,0,0,9
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_1200.txt,473.astar-s1.trace.gz,pathfinder,256,1200,0.346474,98033976,282947595,23886137,21021970,2864167,3801223,2735959,1065264,1912434,404137,1508297,752106,752106,37296,290016,1645,139827,283322,327312,0,467139,327312,12
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_150.txt,473.astar-s1.trace.gz,no,256,150,0.284497,98033976,344587110,23887257,21023088,2864169,3801226,2735980,1065246,1445278,236286,1208992,0,0,0,0,0,0,0,0,0,0,0,134
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_150.txt,605.mcf-s1.trace.xz,pathfinder,4096,150,0.0876113,38467912,439074737,7197191,5519405,1677786,2530773,1529639,1001134,2680193,1689655,990538,920984,920984,21294,13031,7554,791541,87564,34648,0,826189,34648,170
cc-5.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_9600.txt,cc-5.trace.gz,pathfinder,512,9600,0.212067,20700645,97613542,4805112,3345160,1459952,1579261,578989,1000272,1995260,248548,1746712,889571,889571,126019,655563,1488,91660,14841,784681,0,876341,784681,1
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_9600.txt,471.omnetpp-s1.trace.gz,pythia,512,9600,0.312279,54612142,174882518,18734615,17391138,1343477,1915303,752371,1162932,2274854,280670,1994184,730338,730338,170157,399728,22683,48505,89265,571303,0,619808,571303,1
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_512_300.txt,482.sphinx3-s0.trace.gz,no,512,300,0.456208,84756213,185784229,10668103,9397854,1270249,1390833,293204,1097629,1206339,34937,1171402,0,0,0,0,0,0,0,0,0,0,0,84
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_512_2400.txt,450.soplex-s0.trace.gz,no,512,2400,0.250206,29478984,117818798,7040158,5313816,1726342,2555262,1252791,1302471,1893575,166860,1726715,0,0,0,0,0,0,0,0,0,0,0,11
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_9600.txt,482.sphinx3-s0.trace.gz,pathfinder,512,9600,0.908624,84756213,93279776,10747931,9477699,1270232,1390818,293180,1097638,1858544,593675,1264869,939376,939376,517145,86326,210228,46711,78966,605492,0,652203,605492,2
cc-5.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_1200.txt,cc-5.trace.gz,pathfinder,256,1200,0.191006,20700645,108377009,4868063,3408125,1459938,1579247,578980,1000267,1994710,157517,1837193,889555,889555,104075,724669,1815,45457,13539,830339,0,875796,830339,19
