================================================= Global Summary Table =================================================
Benchmark                  Model           Freq       IPC  Accuracy  Coverage  BW_Share |   Issued  Useful Useless    Late     Hit  Others
450.soplex-s0.trace.gz     pathfinder1024  1200    0.2780    26.53%    24.32%    31.73% |   917115  243313  196222  126308  215886  135386
450.soplex-s0.trace.gz     pythia1024      1200    0.2767    33.52%    24.06%    30.16% |   718178  240757  164043   92270  134913   86195
450.soplex-s0.trace.gz     no2048          1200    0.2831     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder2048  1200    0.3185    23.32%    21.40%    32.25% |   918040  214131  139729  108940  322226  133014
450.soplex-s0.trace.gz     pythia2048      1200    0.3168    31.65%    22.51%    32.38% |   711645  225222  124722   86253  216884   58564
450.soplex-s0.trace.gz     no4096          1200    0.3320     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder4096  1200    0.3689    15.92%    14.61%    29.72% |   918278  146171   92590   72067  484572  122878
450.soplex-s0.trace.gz     pythia4096      1200    0.3639    19.64%    14.06%    28.46% |   716556  140703   86736   57304  353809   78004
450.soplex-s0.trace.gz     no256           2400    0.2459     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder256   2400    0.2791    25.71%    23.59%    24.97% |   917878  236029  301106  119851  115835  145057
450.soplex-s0.trace.gz     pythia256       2400    0.2826    36.55%    27.39%    25.19% |   749901  274081  256392   93580   68116   57732
450.soplex-s0.trace.gz     no512           2400    0.2502     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder512   2400    0.2865    26.61%    24.42%    24.76% |   918339  244380  257853  119469  152783  143854
450.soplex-s0.trace.gz     pythia512       2400    0.2857    33.44%    25.27%    23.76% |   756099  252838  218057   93434   96166   95604
450.soplex-s0.trace.gz     no1024          2400    0.2666     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder1024  2400    0.3066    26.95%    24.74%    32.06% |   918302  247523  196716  115796  216511  141756
450.soplex-s0.trace.gz     pythia1024      2400    0.3052    36.69%    27.02%    33.04% |   736735  270319  179005   92838  141394   53179
450.soplex-s0.trace.gz     no2048          2400    0.2997     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder2048  2400    0.3488    23.73%    21.78%    32.61% |   918420  217941  139908   98549  322672  139350
450.soplex-s0.trace.gz     pythia2048      2400    0.3441    28.00%    21.03%    31.45% |   751464  210420  131611   85022  225645   98766
450.soplex-s0.trace.gz     no4096          2400    0.3491     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder4096  2400    0.3989    16.24%    14.91%    30.09% |   918425  149192   92638   62489  484748  129358
450.soplex-s0.trace.gz     pythia4096      2400    0.3924    19.93%    14.75%    29.92% |   740757  147611   93730   46334  366753   86329
450.soplex-s0.trace.gz     no256           4800    0.2522     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder256   4800    0.2894    26.10%    23.96%    25.15% |   918357  239732  301407  110493  115947  150778
450.soplex-s0.trace.gz     pythia256       4800    0.2936    37.21%    28.17%    25.83% |   757507  281871  264053   79871   67477   64235
450.soplex-s0.trace.gz     no512           4800    0.2565     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder512   4800    0.2969    27.00%    24.78%    24.94% |   918473  247970  257916  110346  152898  149343
450.soplex-s0.trace.gz     pythia512       4800    0.2953    34.04%    25.57%    24.10% |   751874  255907  223107   82210   95994   94656
450.soplex-s0.trace.gz     no1024          4800    0.2730     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder1024  4800    0.3177    27.32%    25.07%    32.31% |   918369  250879  196905  106678  216651  147256
450.soplex-s0.trace.gz     pythia1024      4800    0.3190    41.91%    30.68%    35.72% |   732326  306947  179360   53097  145255   47667
450.soplex-s0.trace.gz     no2048          4800    0.3064     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder2048  4800    0.3599    24.09%    22.13%    32.93% |   919143  221411  140154   89767  322986  144825
450.soplex-s0.trace.gz     pythia2048      4800    0.3564    30.43%    22.93%    33.41% |   754025  229420  136453   67992  226751   93409
450.soplex-s0.trace.gz     no4096          4800    0.3553     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder4096  4800    0.4092    16.62%    15.26%    30.52% |   918852  152724   92707   54628  484871  133922
450.soplex-s0.trace.gz     pythia4096      4800    0.4023    20.03%    14.95%    30.13% |   746601  149544   93408   43677  370797   89175
450.soplex-s0.trace.gz     no256           9600    0.2537     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder256   9600    0.2918    26.30%    24.13%    25.23% |   918119  241470  301413  107979  116001  151256
450.soplex-s0.trace.gz     pythia256       9600    0.2969    37.49%    28.52%    26.02% |   761087  285336  264846   75638   68167   67100
450.soplex-s0.trace.gz     no512           9600    0.2580     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder512   9600    0.2994    27.22%    24.97%    25.02% |   918018  249840  257777  107463  152874  150064
450.soplex-s0.trace.gz     pythia512       9600    0.3009    35.61%    27.20%    25.12% |   764197  272149  228717   87565   98344   77422
450.soplex-s0.trace.gz     no1024          9600    0.2746     0.00%     0.00%     0.00% |        0       0       0       0       0       0
